location_id, location_name, location_url
67, celadon-city, https://pokeapi.co/api/v2/location/67/
68, cerulean-city, https://pokeapi.co/api/v2/location/68/
71, cinnabar-island, https://pokeapi.co/api/v2/location/71/
73, digletts-cave, https://pokeapi.co/api/v2/location/73/
76, fuchsia-city, https://pokeapi.co/api/v2/location/76/
80, mt-moon, https://pokeapi.co/api/v2/location/80/
86, pallet-town, https://pokeapi.co/api/v2/location/86/
87, rock-tunnel, https://pokeapi.co/api/v2/location/87/
88, kanto-route-1, https://pokeapi.co/api/v2/location/88/
89, kanto-route-10, https://pokeapi.co/api/v2/location/89/
90, kanto-route-11, https://pokeapi.co/api/v2/location/90/
91, kanto-route-12, https://pokeapi.co/api/v2/location/91/
92, kanto-route-13, https://pokeapi.co/api/v2/location/92/
93, kanto-route-14, https://pokeapi.co/api/v2/location/93/
94, kanto-route-15, https://pokeapi.co/api/v2/location/94/
95, kanto-route-16, https://pokeapi.co/api/v2/location/95/
96, kanto-route-17, https://pokeapi.co/api/v2/location/96/
97, kanto-route-18, https://pokeapi.co/api/v2/location/97/
98, kanto-sea-route-19, https://pokeapi.co/api/v2/location/98/
99, kanto-route-2, https://pokeapi.co/api/v2/location/99/
100, kanto-sea-route-20, https://pokeapi.co/api/v2/location/100/
101, kanto-sea-route-21, https://pokeapi.co/api/v2/location/101/
102, kanto-route-22, https://pokeapi.co/api/v2/location/102/
103, kanto-route-24, https://pokeapi.co/api/v2/location/103/
104, kanto-route-25, https://pokeapi.co/api/v2/location/104/
105, kanto-route-26, https://pokeapi.co/api/v2/location/105/
106, kanto-route-27, https://pokeapi.co/api/v2/location/106/
107, kanto-route-28, https://pokeapi.co/api/v2/location/107/
109, kanto-route-3, https://pokeapi.co/api/v2/location/109/
120, kanto-route-4, https://pokeapi.co/api/v2/location/120/
130, kanto-route-5, https://pokeapi.co/api/v2/location/130/
131, kanto-route-6, https://pokeapi.co/api/v2/location/131/
132, kanto-route-7, https://pokeapi.co/api/v2/location/132/
133, kanto-route-8, https://pokeapi.co/api/v2/location/133/
134, kanto-route-9, https://pokeapi.co/api/v2/location/134/
136, seafoam-islands, https://pokeapi.co/api/v2/location/136/
147, cerulean-cave, https://pokeapi.co/api/v2/location/147/
151, vermilion-city, https://pokeapi.co/api/v2/location/151/
152, kanto-victory-road-1, https://pokeapi.co/api/v2/location/152/
154, viridian-city, https://pokeapi.co/api/v2/location/154/
155, viridian-forest, https://pokeapi.co/api/v2/location/155/
157, kanto-route-23, https://pokeapi.co/api/v2/location/157/
158, power-plant, https://pokeapi.co/api/v2/location/158/
159, kanto-victory-road-2, https://pokeapi.co/api/v2/location/159/
160, pokemon-tower, https://pokeapi.co/api/v2/location/160/
161, pokemon-mansion, https://pokeapi.co/api/v2/location/161/
162, kanto-safari-zone, https://pokeapi.co/api/v2/location/162/
231, pewter-city, https://pokeapi.co/api/v2/location/231/
232, lavender-town, https://pokeapi.co/api/v2/location/232/
233, indigo-plateau, https://pokeapi.co/api/v2/location/233/
234, saffron-city, https://pokeapi.co/api/v2/location/234/
498, ss-anne, https://pokeapi.co/api/v2/location/498/
